,tweets
2576,"[""Just seen some Afghan refugees on the news saying how hard it's been having to live in a hotel for last 8 months. Try living on the streets like some of our veterans perhaps then? 🤷""]"
2577,"['FORIEGN OFFICE PAY £1MILLION EVERY SINGLE DAY TO KEEP AFGHAN REFUGEES IN HOTELS! SOOOO MANY PEOPLE HERE IN UK OFFERING HOMES,BUT PATEL AGAIN HAS DONE ZERO! A MILLION POUNDS A DAY! OMG😖😖😖😖😖😖😖😖']"
2578,"['A side effect of the uncontrolled channel migration is that legal Afghan refugees are stuck in limbo. The system is overrun by economic illegal migrants, which the left seem hellbent on encouraging.  The same left that complain about time taken to process Afghan refugees. 🤔']"
2579,"['@shimla321 @CornesyR @lydia_fleur @Care4Calais That’s incorrect, afghan refugees are not white. Next lie? Also the illegal immigrants traveling Europe for the best deal are not refugees. Don’t get confused, I know it’s hard for you.']"
2580,"[""@itvnews what about houses for British people who are also living in bed and breakfast or on the streets and don't get anything like these afghan refugees get, our own people should take priority over refugees.""]"
2581,['@SpeakSamuel @USCIS And note I-693 fiasco. It makes no sense to do medical tests for EB who have been here decades! They can easily waive that off like they did for Ukraine/Afghan refugees. https://t.co/B2xr86798a']
2582,['Get your finger out of your arse and help resettle Afghan refugees @pritipatel']
2583,"['😡👎👎👎\n\n..the US is the initiator of the Afghan issues. Innocent civilians were killed by US soldiers or in the wars the US started, with hundreds of thousands more becoming refugees...\n\nhttps://t.co/xaIIzNVC8H #dkpol #dkmedier https://t.co/lL9Y3ja2Zm']"
2584,"['They got out of Afghanistan, but now refugees are stuck living in Canadian hotels https://t.co/keL0JEfMy4 Afghan refugees get NOTHING while our Gov. caters to Ukrainian w housing, help w English, jobs, continued $$ support &amp; $3 K start up!!  WHY?']"
2585,['Many Afghan refugees are facing eviction because government rental assistance expires after six months.\n\nhttps://t.co/VXUcokKTre']
2586,"[""@UNinIndonesia @valeriejulliand @UN @IndonesiaILO Stop playing with refugees liv s in Indonesia.\nIt's a big shame for UNHCR for failing the mission to resettle Afghan refugees from Indonesia.\nYou have a direct hand 17 people's blood who committed suicide during ten years in here.\n#RescueAfgRefugees_Indonesia https://t.co/2VWAks13bs""]"
2587,"[""@johnsweeneyroar @BorisJohnson Here's how his 'plan' for Afghan refugees is going:\n\nhttps://t.co/8JqRoYnnAS""]"
2588,"[""@valeriejulliand @UNinIndonesia @FAOIndonesia @unescojakarta SOS for Afghan Hazara refugees who have been stuck in Indonesia for ten years without basic human right.\nUNHCR has been failed in it's duty to help refugees get resettled to the third countries.\n#RescueAfgRefugees_Indonesia https://t.co/3Ue08OfJNX""]"
2589,"[""Dear @pritipatel I wrote in April about alternatives to Rwanda for Afghan refugees. If your department processed their paperwork they wouldn't be crossing the channel in small boats. https://t.co/CJybUXjHvd""]"
2590,"[""@FiteLE @jasonyitzie i do not fucking blame them. i know of a lot of good things Pakistan has done to help Afghan refugees (been a part of facilitating some of that), but they've done a LOT of awful shit and I do not blame your friends one fucking BIT.""]"
2591,"['Etsy Is Helping Support and Empower 30+ Afghan Refugees, and Their Handmade Creations Are All Stunning https://t.co/dTY1Eeu9ZA']"
2592,"[""writing a letter to my MP because the afghan refugees housed at the holiday inn express keeping buying all the aldi value brand hummus and I can't afford the specially selected range""]"
2593,"['Why is there a legal online visa systems in place for #Ukrainian refugees, but not for #Afghan, #Syrian, or other #black, #brown refugees forcing them to use illegal routes pay smugglers, risking their lives in rubber boats? \n\nPolicies are made by people…https://t.co/5FZeCcECvg']"
2594,['This is your daily reminder that @GovEvers has allowed Afghan refugees with their child brides to come to Wisconsin. #AfghanRefugees #OneTermTony']
2595,['Sheikh Rashid said Pakistan had a policy on Afghan refugees and would unveil and implement it in case of any bad situation in Afghanistan. https://t.co/eAe0gqJ11m']
2596,"['A flagship resettlement scheme for Afghan refugees has processed just TWO of the 3,226 applications made in the last two months, while it would take almost two years for the Government to clear the current backlog. https://t.co/EyarZ97pIo']"
2597,"['@ValYoung1963 @PeterStefanovi2 @AndrewMarr9 STOP THE MIGRANT BOATS: Our government, must arrest the illegal boat traffickers, put them in prison, use their illegally gained money to fund supportive action! Racist as refugees don’t only come from Ukraine, currently NO Visa system for legal Afghan and Syrian refugees.']"
2598,"['@PeterStefanovi2 @AndrewMarr9 STOP THE MIGRANT BOATS: Our government, must arrest the illegal boat traffickers, put them in prison, use their illegally gained money to fund supportive action! Racist as refugees don’t only come from Ukraine, currently NO Visa system for legal Afghan and Syrian refugees.']"
2599,"['June is #ImmigrantHeritageMonth! LA County has a diverse immigrant community, including 4,000-5,000 Afghan refugees who are resettling here. See how @LAC4Immigrants has been working with nonprofits, foundations &amp; other groups to help them secure housing, jobs &amp; more. https://t.co/aCfk69GFp0']"
2600,['@joannaccherry @vahva They agreed to take Afghan Refugees then put them in Hotels and left them because there was no housing anywhere in the Country.']
2601,"[""My wonderful makeup artist is off sick today so I had to struggle doing my own hair and makeup for today's episodes. Get well soon!\n\nAbout to film 3 episodes of @CanadaJusticeTV: Afghan refugees, MAiD, and Bissonnette. https://t.co/JbVT4bDH6V""]"
2602,"['7,000 Afghan refugees deported from Iran in past week https://t.co/pMwWQGSiJ2 #Ariana #Afghanistan']"
2603,"['#Turkey Deports Thousands to #Taliban-Controlled #Afghanistan\n\nIOM?\n\nIn past 6 months, 79 Turkish deportation flights landed at #Kabul airport returning 18,000+ #Afghans\n\nTurkey (via #Iran ) is a transit destination for #Afghan refugees migrating to Europe\nhttps://t.co/D6y0MiaytO']"
2604,"['7,000 Afghan refugees deported from Iran in past week https://t.co/pwQoLuzyJs #Afghanistan #Taliban #News']"
2605,"['#UN says:\n\n#UkraineWar, #Afghanistan #Syria #Sudan push global displaced to record high:\n\n100M people, 1% of humanity\n(2.6M are #Afghan refugees)\n\nChildren?\n50%\n\nWhy?\nWar, disasters, violence, persecution &amp; #HumanRights abuses\n\nPlus?\nFood scarcity &amp; fuel\nhttps://t.co/GpcWadw3Je']"
2606,"['@DerekCunnington @pritipatel STOP THE MIGRANT BOATS: Our government, must arrest the illegal boat traffickers, put them in prison, use their illegally gained money to fund supportive action! Racist as refugees don’t only come from Ukraine, currently NO Visa system for legal Afghan and Syrian refugees.']"
2607,['It’s been months since U.S. troops withdrew from Afghanistan and evacuated tens of thousands of Afghans. But many are still in limbo. But a set of guidelines introduced by the Departments of Homeland Security and State could help. @AlisaReznick reports. \n\nhttps://t.co/7jP9hOiNbD']
2608,"['@pritipatel @Conservatives STOP THE MIGRANT BOATS: Our government, must arrest the illegal boat traffickers, put them in prison, use their illegally gained money to fund supportive action! Racist as refugees don’t only come from Ukraine, currently NO Visa system for legal Afghan and Syrian refugees.']"
2609,"['Join the “Responding to the Afghan Refugee Crisis in the U.S. and Canada"" webinar on #WRD2022 Monday, June 20. Hosted by WES Mariam Assefa Fund partner @metropolisinst, the event will discuss best practices to support Afghan refugees in both countries. https://t.co/WBneE0wdsp']"
2610,"['7,000 Afghan refugees deported from Iran in past week \n\nhttps://t.co/tkFxFeaXck\n\n#Iran #IEA #Refugees #ArianaNews https://t.co/Eno1CbQyRx']"
2611,['Universities in U.S. rarely work with refugees. ASU’s efforts with Afghan students could change\xa0that https://t.co/fuH6WbR2Fj']
2612,"[""Universities in U.S. rarely work with refugees. ASU's efforts with Afghan students could change that https://t.co/6EwqhF5lr1""]"
2613,"['@DailyMailUK STOP THE MIGRANT BOATS: Our government, must arrest the illegal boat traffickers, put them in prison, use their illegally gained money to fund supportive action! Racist as refugees don’t only come from Ukraine, currently NO Visa system for legal Afghan and Syrian refugees.']"
2614,"['🥫We fed 10,000 people in need during the first COVID lockdown, in\nAugust 2021, we provided food, clothing, and medicine\nfor over 5000 Afghan refugees, and most recently, we\norganized donations to send to those in need in\nUkraine.']"
2615,"[""I really don't understand how  Ukrainian refugees are more worthy of refugee status in the UK than Afghan and Syrian refugees?\nApart from the obvious with this blatantly racist government!""]"
2616,"['@doodoo1047 @MONDisLife @chelseaboy1972 @nobordersmcr Yes while we were members of the EU. We are an independent nation now. We have taken a lot of the Afghan translators, and Ukrainian women while their men fight for their country. We have a proud history of helping refugees.']"
2617,['Great to see the team @recruit4spouses work with the #omidinternational team in Istanbul. Sharing what we’ve learnt whilst employing from different talent pools. \n\nIn the last 9 months we’ve helped them support 100 Afghan refugees into employment  @BCorporation https://t.co/vRe57hrLwV']
2618,"['Start you weekend with a lovely new bag and help #refugees...\n\nKandahari Accessory Bag and Bookmark...\n\nHandcrafted by Afghan refugees in Pakistan:\n\nhttps://t.co/ay7Wc9VzsC\n\nHand-embroidered Accessory Bag from Syria, Palestine &amp; Iraq living in Jordan: \n\nhttps://t.co/MDHyIq0BfT https://t.co/Yq5TGsg6hu']"
2619,['My piece 👇in @freemovementlaw updating on ACRS: gvt will now accept referrals from @Refugees but little detail so far. More detail on Pathway 3 w/ “expressions of interest” opening 20.06 @ 0830 BST for @CheveningAfghan @BritishCouncil &amp; @GardaWorld contractors in Afghan./region https://t.co/9evmGqwkpw']
2620,"['#Afghans #Afghanistan #HumanRights #Refugees Excellent article by @byMatthewBest Canada promised to resettle 40,000 Afghan refugees, but many are still waiting https://t.co/IeQKNrMPoC']"
2621,"['@darrengrimes_ STOP THE MIGRANT BOATS: Our government, must arrest the illegal boat traffickers, put them in prison, use their illegally gained money to fund supportive action! Racist as refugees don’t only come from Ukraine, currently NO Visa system for legal Afghan and Syrian refugees.']"
2622,"[""〰️🎙🔗♥️ Turkish MoI HE @suleymansoylu “ Why does the West keep silent about The #Greece's pushback &amp; murder the Syrian/ Afghan immigrants &amp; They’re hurting the #humanity by burying its head in the sand.” !? #Migrants #Refugees #HRW #HumanityFirst https://t.co/WBHqR4DC2c https://t.co/UsQ98qm4aa""]"
2623,"[""1/n 〰️🎙🔗♥️ Turkish MoI HE @suleymansoylu “ Why does the West keep silent about The #Greece's pushback &amp; murder the Syrian/ Afghan immigrants &amp; They’re hurting the #humanity by burying its head in the sand.” !? #Migrants #Refugees #HRW #HumanityFirst https://t.co/8zaO7IvtU9""]"
